,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
19,,0.9120672345161438,,0.001,,"[[8.02274775e+01 1.43361551e+01 5.37204036e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80279119 0.00446701 0.        ],[0.89060918 0.00889429 0.        ],[1.         0.00446701 0.        ],[0.80279119 1.                nan],[1.         0.85654617 0.9462796 ],[0.80279119 1.                nan],,,,,,,,,,,,
20,,,0.950690507888794,0.001,,,"[[4.81737914e+01 2.57388221e+01 2.60544954e+01]
 [0.00000000e+00 2.23654288e-02 1.05257388e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.48189642 0.00086783 0.        ],[0.650378   0.00173415 0.        ],[1.00000000e+00 8.68183144e-04 0.00000000e+00],[0.48189642 0.67998282        nan],[1.         0.74252709 0.73934979],[0.48189642 0.67998282        nan],,,,,,
21,0.9100781083106995,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.9100781083106995,,0.001,,"[[8.03290897e+01 1.31570745e+01 6.44950867e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80380796 0.00486538 0.        ],[0.89123452 0.00968364 0.        ],[1.         0.00486538 0.        ],[0.80380796 1.                nan],[1.         0.86834456 0.93550491],[0.80380796 1.                nan],,,,,,,,,,,,
23,,,0.9502267837524414,0.001,,,"[[4.98923690e+01 1.97009899e+01 3.03737499e+01]
 [0.00000000e+00 1.87202736e-02 1.41708939e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.49908785 0.00094864 0.        ],[0.66585537 0.00189547 0.        ],[1.00000000e+00 9.49317888e-04 0.00000000e+00],[0.49908785 0.56915808        nan],[1.         0.80292528 0.69612079],[0.49908785 0.56915808        nan],,,,,,
24,0.9084905982017517,,,,,,,,,,,,,,,,,,,,,,,,,
25,,0.9084905982017517,,0.0001,,"[[8.06312985e+01 1.19572534e+01 7.34712106e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.806832   0.00535097 0.        ],[0.89309022 0.01064498 0.        ],[1.         0.00535097 0.        ],[0.806832 1.            nan],[1.         0.8803505  0.92652879],[0.806832 1.            nan],,,,,,,,,,,,
26,,,0.9476619362831116,0.0001,,,"[[5.73905097e+01 1.82908517e+01 2.42857474e+01]
 [0.00000000e+00 1.85224745e-02 1.43686930e-02]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.57409392 0.00101085 0.        ],[0.72942779 0.00201965 0.        ],[1.         0.00101164 0.        ],[0.57409392 0.56314433        nan],[1.         0.8170313  0.75699884],[0.57409392 0.56314433        nan],,,,,,
27,0.9083456993103027,,,,,,,,,,,,,,,,,,,,,,,,,
28,,0.9083456993103027,,0.0001,,"[[8.06852976e+01 1.18362003e+01 7.41417496e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80737234 0.0054054  0.        ],[0.89342115 0.01075268 0.        ],[1.        0.0054054 0.       ],[0.80737234 1.                nan],[1.         0.88156181 0.92585825],[0.80737234 1.                nan],,,,,,,,,,,,
